i,Broccoli,Potato
1,1,1000
2,0,0
3,4,0
4,5,4000
5,5,3000
6,4,3000
7,4,0
8,0,0
9,6,2000
10,2,1000
11,15.4,3600
12,6.6,1500
13,1,0
14,12,0
15,4,1600
16,1.8,800
17,9,1600
18,1.8,0
19,0,1500
20,4.6,0
21,6.8,3800
22,12.6,1600
23,6.6,2800
24,5,1800
25,1,1000
26,8.4,2000
27,3.6,500
28,8,5000
29,3,500
30,6.6,0
31,9.8,2800
32,0,0
33,0,0
34,3,0
35,4,500
36,10,1500
37,1,2000
38,10,4500
39,0,0
40,2,2000
41,5,3000
42,3.6,3800
43,1,800
44,11.6,1500
45,0,1900
46,2,1000
47,13.4,4800
48,5,2000
49,0,0
50,8,2250
51,7.4,800
52,3.6,0
53,9,3500
54,3,0
55,12.2,3800
56,9,2500
57,0,0
58,1,800
59,5.6,0
60,3,1500
61,4.6,500
62,0,1000
63,3,0
64,2.6,1000
65,1,800
66,6.2,5000
67,5.8,2000
68,8.6,500
69,6.8,1800
70,0,3500
71,4,0
72,1,0
73,0,0
74,6,2000
75,4.8,800
76,6,3000
77,0,0
78,10.4,0
79,2.2,1000
80,3,1000
81,3,500
82,2,800
83,0,0
84,11.4,2000
85,0,0
86,2.6,500
87,1,0
88,0,500
89,1,1000
90,10,2000
91,9.6,1500
92,4.4,500
93,9.4,1800
94,2.6,1000
95,1,2250
96,0,2500
97,0,0
98,2.8,800
99,4.6,1500
100,9.8,3000
101,2,500
102,9.2,0
103,2.2,1000
104,3,0
105,3,2000
106,6.8,1800
107,10.4,0
108,4.6,1000
109,6.4,1900
110,8,0
111,8.4,3250
112,1.8,0
113,1,0
114,6,1500
115,9.6,1800
116,4,0
117,6.6,3400
118,2.6,1000
119,1,0
120,6,4000
121,2,1000
122,7,2000
123,2,500
124,4,2000
125,4,2000
126,3,0
127,2.6,0
128,6,0
129,2,1000
130,1,0
131,11.4,0
